[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1012_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1012_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1012_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1012_d"('20200101','20200101') 
[2020-08-26 16:35:59] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1012_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1013_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1013_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1013_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1013_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1013_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1014_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1014_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1014_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1014_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1014_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1015_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1015_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1015_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1015_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1015_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1016_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1016_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1016_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1016_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1016_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1017_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1017_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1017_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1017_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1017_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1018_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1018_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1018_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1018_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1018_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1019_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1019_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1019_d"('20200101','20200101') 
